,season,episode,Rating,Name,Date,Text,Useful
10,1,2,NA,dsand95510,26 March 2021,"The network that shows South Park apparently doesn't have the stomach to show ""Diversity Day."" The shows are generally shown in order, and CC has skipped this episode for the past year.",11/14
0,1,4,9,ComedyFan2010,27 December 2018,"Dwight decides to form an alliance with Jim because of downsizing. Michael wants to make the office happy by throwing a month early surprise birthday party for Meredith.Wonderful episode. The whole alliance thing was a wonderful idea. Jim and Dwight together are hilarious. The whole thing of Dwight in the box was pretty good. I wish Roy didn't walk in on Jim and Pam, I would want to see Dwight spy as well. But he did dye his hair!The birthday story was also good. Poor Meredith! All the jokes that Michael did for her were just mean, and he thinks he is just a comedy king. But this is what made it for us funny to watch",3/6
1,1,4,8,Edvis-1997,24 October 2021,"It was very cringe episode to watch which makes it interesting but I want a little bit more dark humour or just jokes, so far, The office didn't disappoint me.",1/2
2,1,4,9,MaxBorg89,19 September 2009,"The US version of The Office continues to distance itself from the brilliant UK original by having more openly exaggerated sit-com scenarios (it is an NBC show, after all) with what is arguably the funniest episode of the short inaugural season: The Alliance, which shows another side of the endlessly hilarious Jim/Dwight conflict.With the downsizing rumors still in the air, Dwight suggests that he and Jim form a secret alliance so that neither of them will have any problems. Of course, Dwight reveals his trust issues to the camera crew, and boy, are they justified: the moment the ""alliance"" kicks off, Jim starts planning various schemes at his co-worker's expense. Meanwhile, Michael keeps coming up with ways to distract his staff from the gossip-induced paranoia.Like the previous episode, The Alliance is 20 minutes of comedy gold, based primarily on the spot-on interactions between John Krasinski and the superb Rainn Wilson, who almost do an even better job than Martin Freeman and McKenzie Crook in the British prototype. The ""best gag"" award, however, has to go to Steve Carell for when he explains why he shouldn't tell his staff about the downsizing: ""As a doctor, you wouldn't tell a patient they had cancer."" A masterpiece",10/13
3,1,4,8,zhyarTheChosen,24 February 2020,Really love this series I am watching it almost every day,0/3
4,1,4,6,gizmomogwai,8 December 2009,"This episode, The Alliance, is part of the US Office's first season- six episodes that don't get much love. Although I liked some of these episodes (like Diversity Day), I can understand a lack of enthusiasm for this one.Given fear of downsizing, Michael decides to lighten up the office by throwing a birthday party- despite the fact that the next birthday is a month away. Meanwhile, Dwight deals with the downsizing by suggesting an ""alliance"" with Jim.Much of the episode is kind of dull, there's little to laugh at besides Dwight's water bottle. Michael makes a reference to Donald Trump, but it's hard to see why I should care and if anyone else will in twenty years. He also makes a Star Trek reference that isn't very funny. Nevertheless, I can appreciate how imperfect a month-early birthday party is, and Pam's question as to what the ""alliance"" really means is a valid one.Towards the end, the episode does provide some laughs. The birthday girl's reaction, including to a cake she can't eat for medical reasons, is good. The downsizing joke is awkward. The fact that it's the temp's actual birthday is a humorous twist. The charity subplot also has a nice twist when Michael learns he's donated a lot more than he thought. It's not the greatest TV episode, but it does indicate the show has potential.",9/17
5,1,4,7,jonniedylanoliver,18 May 2020,"2 brilliant plots: Michaels Party-planning and Jim and Dwights Alliance. We start to see more of the office's opinion of Michael and the start of Jim's major pranks on Dwight. Also we see the struggles with Jim's love for Pam. Enjoyable, but not particularly memorable.",1/4
6,1,4,6,sudarshan-52058,2 June 2021,Jim pranking dwight is not even funny. It's funny for jim and pam but not us audience.,0/2
0,1,6,NA,bob the moo,26 March 2009,"A small branch of a stationary company in Pennsylvania is facing possible closure and redundancies and the staff aren't given a great deal of hope by having a bluffing clown of a boss in Michael Scott  a man who wants to be popular more than a boss. As office politics play a part, the staff try to deal with this hanging over their heads as well as the usual ongoing petty nonsense that is part of any office life.Adapting what is really a very British sitcom to be suitable for American tastes was never going to be easy and the first season of this show (which has grown in popularity) shows the problems right away. Season 1 is, for the most part, a straight reproduction of the original in terms of some of the stories but also very much the painful awkward feel of the whole thing. What this achieves is a quite funny sitcom because the material is pretty good but it falls down quite badly when it comes to the more painful part of the material  which in the UK original was essentially the show. We all remember the original as hilarious but the truth is that much of it was funny while being unbearably awkward. This worked so well because the characters so totally sold it as real and you felt them dying inside as well as seeing them act awkward at that moment.Here we have the conflicting aims of comedy and pain and the two don't sit well together. I got the sense that the US makers felt they wanted to do the UK version but that at the same time had a different vision for the show based on the US audience and also the different structure of the show (after all, the UK one was about 12 episodes total  not quite what the US networks expect from their shows). Perhaps it is better if you have never seen the original but the conflict can be seen in many areas but most noticeably in two key characters - Brent/Scott and Jim/Tim. Scott is very much a comedian who tries too hard and frequently falls flat, looking trapped by his own attempts at being ""cool. Brent was similar but his character was much more convincing and real  a tiny man who one feels terrible pity for. Likewise Tim's pain and sense of being overwhelmed by the pointlessness of it all was palatable whereas Jim is far too perky and seems to be wearing it reasonably well.Again this may be part of the longer game-plan as the development of characters over longer US seasons would be difficult if they arrived fully formed but it does the actors a bit of a disservice in this first season. Don't get me wrong though, the first season is still funny  even when it comes over as a bit of a lesser copy, it does still generate laughs and awkwardness. However it is best when it is creating new material totally and worrying less about getting everything the same as the UK original. This is encouraging because, with 4 or 5 seasons now made, it is clear that it must have become its own master now given how little source material there is. Here though it must be said that it is impossible to avoid the US/UK comparison because it is writ large across almost all of the six episodes and, in attempting the same thing, the US version does fall short of the mark  this is not protectionist sentiment, just the way it is.The cast struggle by comparison because of the similarity. I think everyone is good enough to be able to raise their game when the show settles in but in this first season it is hard to avoid the sense of the cast not ""getting it"" in the way the original did. Again, I add the caveat of the longer game plan and the ""pilot"" nature of the first season but I cannot help say that Carell (who I like) is just not as good as Gervias at the pained stuff. He is at his best as the foolish clown but he cannot nail the inner emptiness and pathos that is what we all remember Brent for. Sadly the material makes this weakness more apparent. Wilson is a solid turn but again doesn't compare with the original. Krasinski offers more of a US sitcom role and I think will be good at this but again he struggles with trying to fit into the reproduced material while also having a less developed character. The only person of the whole cast who really nails the pained thing is Fischer as I totally believed the small deaths she suffered with every day in the office  she is excellent here.Season 1 is generally funny and, if I had not seen the original then I would probably have liked it more. However it stays too close to the original, suffering by comparison and also never finding its own voice or direction. I think the potential is there though and will follow this with season 2 to see where it goes and what it does when it has to start to find its own way.",3/15
1,1,6,8,ComedyFan2010,27 December 2018,A hot girl comes to the office to sell purses. Most men in the office are interested in her and Jim asks her out.This episode was a nice finale of the first season. It is kind of weird that there is such thing as coming to an office to sell stuff. Dwight made me laugh so much in this episode when testing the purse by beating it against the table. Michael hitting on Katie was also very well done.,4/6
2,1,6,7,Edvis-1997,24 October 2021,"For me it was just a lack of creation and this episode felt just been here to fill air-time on TV, nothing too special, nothing serious just giggles, I expect more to be honest.",0/1
3,1,6,9,zkonedog,5 July 2019,"For the past few years, I considered the TV series ""Family Guy"" to be the funniest show on the tube for its ability to poke fun at anything and everything. Yet, more than likely due to the rather sick mind of creator Seth McFarlane, that show tends to beat you over the head (sometimes again and again and again) with its jokes in rather crude fashion. It can be hilarious, don't get me wrong, but a show like that can only stay fresh for so long without having to up the ""shock ante"" with every episode.Just recently, though, I discovered ""The Office"" while utilizing a free trial of Netflix and was blown away by the subtleness of the humor that abounds in each and every episode. I had watched bits and pieces of certain episodes in the past, but beginning to watch them in broadcast order really helped me put the pieces together and enjoy every second of each 20-minute episode.Basically, the show is set at the Dunder-Mifflin paper company in Scranton, PA, where a very diverse group of office workers work the 9-5 cubicle life under the ""direction"" of Michael Scott (played by Steve Carell). It's very much like a toned-down, more realistically-funny version of the feature film ""Office Space"". But here's the catch: Michael is, by and large, a complete idiot, and thus the office functions accordingly.In this first season (only six episodes long, likely due to its ""trial run"" status in the U.S. to see if it could duplicate the success of its United Kingdom namesake show), all the building blocks of the show are put in place in terms of character development, relationships, and humor. Really, there are three reasons why the show (right from this very first season) resonated so much with American audiences:First, is the notion that all the characters are so relatable to potential real-life situations. Everyone can relate to the idiot boss (Michael), the office suck-up (Dwight), the ""normal"" or ""cool"" ones (Jim and Pam), the pervert (Kevin) and the tightly-wound frosty woman (Angela), to name just a few. While those characters are of course amped up a bit from what a real office feels like, there still exists that sense that you yourself could just as easily be in the same situation they are.Another reason this show is so successful is the focus on the characters of Jim and Pam. Both are acted extraordinarily by John Krasinski and Jenna Fischer and are truly the heart and soul of the show. Audiences can easily relate to the romantic tension and silly pranks between the two because of what could be called a ""normalcy complex"": they are the two most normal, fun characters on the show, and thus the audience roots for them due to the fact that they represent what we want to be at work. Your heart will break as they both struggle to figure out a relationship that seems destined to be, but at the same time you will also laugh along with them as they pull their silly pranks on various office personnel.Finally, though, what truly sets this show apart from any other comedy series I have previously seen is the fact that storylines are progressed from episode to episode. Unlike some half-hour comedies (like Family Guy) where, by and large, the slate is pretty much wiped clean after every episode, ""The Office"" instead builds on certain plot and character threads to create continuity. Thus, the characters actually grow and learn on screen in front of you, so to speak, and don't just stagnate repeating the same old jokes or gags.Thus, I would pretty much recommend this show to anybody who has ever held a job (not too limiting, huh?!), as you will be able to instantly relate to the kind of antics that transpire.",7/10
4,1,6,8,vivianla,29 April 2020,"A saleswoman named Katy comes in looking to sell purses - she is turned away until the boss sees how she is a hotter Pam. She is wearing tighter clothes, heels, hair is curled and her makeup done. Her back curves are shown and she is showing slight cleavage that gets the males' attention. I like the purple top she has on. The boss tries to attract Katy, giving her coffee and offers to take her home. At last she tells the boss at the very last minute she doesn't need a ride anymore when everyone is at the parking lot and the handsome boy takes her home.",3/6
5,1,6,8,MaxBorg89,31 October 2009,"Most people argue that the first season of the Americanized Office was too similar to the British original (and it certainly applies to the pilot episode, which was co-written by Ricky Gervais, Stephen Merchant and US developer Greg Daniels), most notably in the number of episodes in the first season: just six, like a standard UK sitcom. However, the reduced episode order was probably due to simple caution on the part of NBC, who wanted to check if American audiences would respond to the series before requesting a standard-length season.Funny coincidences aside, Hot Girl is a very amusing season finale, in which most of the male staff go ""crazy"" when an attractive saleswoman (Amy Adams) shows up in the Dunder Mifflin building. Michael and Dwight make fools of themselves immediately, Roy makes an inappropriate comment in Pam's presence and Jim... well, he doesn't have any problems, really.While not exactly setting up a second season, Hot Girl works admirably as a finale, reminding us why The Office is such a terrific show with some priceless displays of awkward comedy (anything Dwight says) and pure laughs (Ryan washing Michael's car: genius). A frustratingly short first year, no doubt, but with hindsight a juicy appetizer for what came next: one of the greatest comedy shows on television.",15/17
6,1,6,6,zhyarTheChosen,1 March 2020,By far the most boring episode I really loved the other episodes,6/14
7,1,6,7,katyayan-,26 July 2021,Review By Kamal KThe first season was good but not as good as the others because they are just introducing the characters and nothing really exciting happens.,0/1
8,1,6,8,gizmomogwai,30 January 2008,"The sixth and final episode of the US Office's first season is a highlight among the six. In it, a saleswoman visits the office looking to sell purses. Michael states that no vendors are allowed in the office, but changes his mind when he sees the girl is attractive. He gives her a room and is glad to give her coffee, while Dwight Schrute also becomes attracted to her. Dwight tells the audience that she stood out because of her ""amazing breasts""- which, he assures us humorously, is for any ""thirsty babies"" they may have, and not for him. Dwight becomes concerned when he learns Michael has offered to take the girl home, but in the end the saleswoman hooks up with someone else in The Office.The episode provided amusing hopeless crushes and Jenna Fischer is as usual good in this episode. Michael's rambling about how he has to break down barriers to talk with people was also interesting. Altogether, this was a funny episode.",9/11
9,1,6,5,jonniedylanoliver,18 May 2020,"For the season finale, this is ultimately a boring and disappointing episode. It doesn't add anything to the plot, and barely adds any development to our characters. Also incredibly cringe-inducing from Michael.",4/10
10,1,6,NA,Metin_Cincin,17 March 2021,I have never cringed this much before. Michael hitting up on the bag girl is literally perfectly written in order to make us cringe at him.,3/4
11,1,6,7,JohnFlowBotts,5 March 2019,"Dwight is banging the purses against the table, because Jim told him that buying the purse.",6/16
0,1,1,7,ComedyFan2010,27 December 2018,The pilot episode of the great show The Office. This isn't the best of the episodes but it does a good job introducing us to some of the main characters. Especially to Michael Scott who is a very special characters. Who he is is already shown in this episode when he makes bad jokes and doesn't even see himself that he is going too far. Now it will get even better.,4/7
1,1,1,5,studioAT,17 October 2021,"The American version of the UK show kicks off here.Like all Pilots this is very much a show finding its feet, but it does show signs of promise.Enjoyable enough stuff.",2/6
2,1,1,8,Edvis-1997,24 October 2021,"Wathcing it for the first time after 16 years of release and it still makes me laugh, that's what I call iconic TV Show, I'm hooked up after first episode.",1/3
3,1,1,9,MaxBorg89,16 January 2009,"When it was first announced that NBC was going to adapt BBC hit The Office for American audiences, fans and critics feared the worst since, Showtime's Queer as Folk notwithstanding, US remakes of English shows have never been a smart move (example: Fox's fun but flimsy take on Doctor Who in 1996). Even some of the US version's cast-members (John Krasinski most famously) were uncertain regarding the program's critical and commercial success. As it turned out, those fears were unnecessary, for two good reasons: first of all, Simpsons and King of the Hill writer Greg Daniels took on the assignment of making The Office the next great American sitcom; and secondly, not only did Stephen Merchant and Ricky Gervais give the project their blessing, they also agreed to stay involved as executive producers and even co-wrote the pilot episode with Daniels.Just like in the original, everything is told as if it were part of a documentary, with an unspecified camera crew following the everyday events at the Scranton, Pennsylvania branch of paper company Dunder-Mifflin. The regional manager is Michael Scott (Steve Carell), a child in a grown-up's body who sees himself as the ultimate boss and entertainer, while everyone else thinks he's a huge idiot. It is mainly Michael who delivers the show's trademark straight-to-camera remarks, although a few other people do pop up too occasionally. These include Michael's assistant Dwight Schrute (Rainn Wilson), an ambitious, obnoxious career-devotee who insists on doing everything by the book, and his nemesis, sales manager Jim Halpert (Krasinski), who repeatedly teases Dwight with some help from the office's receptionist, Pam Beesly (Jenna Fischer).Plot-wise, three major things occur: Michael greets new employee Ryan Howard (B.J. Novak, who also serves as writer and executive producer), for whom he immediately develops a vaguely homo-erotic fondness, Dwight has to deal with Jim putting his stapler in Jell-O, and Jan Levinson Gould from Corporate reveals the branch might have to face downsizing. How does Michael react to the news? He promises nothing will happen and takes advantage of the situation to pull a few ""harmless"" pranks, with disastrous consequences.The plot, as any true fan must have noticed, is lifted verbatim from the BBC premiere episode, complete with ""Yankified"" jokes (Camilla Parker Bowles is replaced by Hillary Rodham Clinton). A lot of critics saw this as a blatant sign of weakness, calling the US version a mere knock-off of the far superior British prototype. In reality, Gervais and Merchant (who wrote both versions of the episode) did this on purpose, to see if the show's less broad sense of humor could translate well to American audiences. To everyone's delight, it translates perfectly, albeit with a few adjustments: the mood is a tad lighter than in the original (as proved by the more cheerful theme music), the characters are more likable (even Dwight, but that's all thanks to the superb Wilson), and the boss is a bit less of a pain in the ass. That last thing might also have to do with Carell's wise decision to avoid watching Gervais' celebrated performance for inspiration: he has his own style, and it has made him justifiably famous ever since (he was relatively unknown before the series went on the air).When it comes to American television, gambles usually pay off: a show about nothing? Best sitcom ever (Seinfeld). A real-time thriller? Compulsive small-screen viewing (24). A re-imagining of one of Britain's most cherished products? The funniest show of the 21st century's first decade, alongside the equally clever and hilarious 30 Rock.",37/42
4,1,1,9,MrFilmAndTelevisionShow,17 February 2021,"I've only watched the first episode of each series so far, and as a Brit I thought I'd prefer the British version but no, this episode, which has the same plot as Episode 1 of the British version with some jokes tweaked and lines changed but it is broadly similar. I gave the British one a 7 and this a 9 because I felt everything about it was just on a higher level.",3/6
5,1,1,8,zhyarTheChosen,22 February 2020,I like it but not to the point I am going to give it 9 of 10,0/8
6,1,1,10,mkayseryan,23 June 2021,I DONT GET WHY PEOPLE DONT LIKE THE PILOT ITS SOO FUNNY.,3/7
7,1,1,6,GunnersMate,30 June 2018,"The pilot outing of the American version of The Office was odd throughout, uncomfortable at times, and (when it worked) very very funny. Even with the uneven and unusual cast of characters, there were more than a few moments when the viewer can't help but recognize people they have worked with or situations that happen in offices every day - and the uncomfortably funny situation seems to be the point of The Office. Steve Carrell is the obvious comedic star, but the supporting cast looks to be a tremendous fount of potential entertainment. Was it too odd or uncomfortable to keep someone from watching? Nope - in fact, I can't wait to see what they do next.",3/6
8,1,1,8,bmiller59,8 January 2022,"We've never seen an episode of The Office....never. Loved it. Don't know where to start reviewing the Pilot, but getting to know some of the characters and their hi-jinx is consistent with what I've heard. Don't know why I've never watched it, but looks like I have a lot to catch up on.",1/1
9,1,1,9,theteamavengers,9 April 2021,I started today my The Office watch for the second time. This was a good pilot and introduction. 8.5/10.,1/4
10,1,1,7,smithpaulusmc,2 December 2019,"The Office's pilot episode introduces the shows main characters and biggest personalities in the context of impending downsizing. Office manager Michael Scott (Steve Carell), whose childish antics and inability to effectively lead his subordinates renders him nearly useless, learns that his branch is on the chopping block during the company's budget cuts. Rather than deal with the problem, Michael spends his time teasing his workers and holding pointless conferences.
Carell and The Office's ensemble which includes Rainn Wilson, John Krasinski, and Jenna Fischer, is endearing and unique. Each character feels different from the next and despite their interpersonal conflicts, we wish the best for each of them.
From the outset, the show comedically introduces several plot points from which the story arc can grow. As previously mentioned, the impending downsizing threatens to end the Scranton branch. Will Michael and his cronies rise to the occasion or be miraculously saved from losing their jobs? Most intriguingly, Jim Halpert (John Krasinski) appears to hold a friendly relationship with Pam Beasley (Jenna Fischer) that crosses into flirting. By the episode's end, we learn that Pam is currently dating a warehouse worker. This could open a story line of its own which could flesh out future episodes with more than one main plot.
The Office is a care-free, fresh take on the monotony of work life and the colorful characters that inhabit it. At this point in the series, there is not enough content to prove it will stand the test of time. Still, there are lovely elements and characters that might prove this show is worth your time.",0/4
11,1,1,6,jonniedylanoliver,18 May 2020,"The point of a 'Pilot' is to write the beginning of a story in an original and interesting way to hook the viewers in. But as this is a remake of the UK show, it is a near exact script to the UK Pilot. It establishes our main characters well (Michael, Pam, Dwight, Jim), but overall has a boring and forgettable plot.",3/5
12,1,1,5,Mike1388,3 November 2011,"First of all Wow! Wow as in how bad the pilot was. I heard The Office get their mojo on by the second season (Which I haven't seen yet), so with that in mind I know I should take the pilot with a pinch of salt.This is my first time watching The Office after years hearing rave reviews about it. The pilot starts out with Carell introducing himself as the manager and speaking highly about himself, his character is a jerk and an offensive manager who doesn't know what's funny and what's not. Then we go on to be introduced to other characters, personally my favorite based on the pilot are John Krasinski who play the boring out of his mind kinda guy and Jenna Fischer who play as the awkward yet cute receptionist. Rain Wilson is shown as high maintenance kind of guy and Bj Novak basically doesn't have much line in the pilot.I'm going to ditch the first season and jump on to watch the second after wards, hoping it would be much better than this oh-so-ridiculous pilot.",17/44
13,1,1,6,jackVSjack,20 August 2019,"There was absolutely no way they were going to be able to match the UK first episode by doing pretty much the same script. The actors don't fit as well into the original roles as they were written. Krasinski is no Freeman, he misses the beats in between the lines most of the time. Carell is closer. But his part works better when the character works to include the audience at home as he searches to he discovered. He doesn't come over quite as desperate. It's good they have tried to make it different but this opening pales when we've seen it done better.",15/19
14,1,1,3,hazzadhgw,9 March 2020,"This episode is a total rip off of The original Office. The plot is the same. Some of the scenes are the same.
This is not a bad episode though. I actually found his funnier than the office UK pilot. I don't rate the Office UK's pilot episode.",1/14
15,1,1,NA,aryanjigupta,13 March 2021,"I couldn't watch the office after seeing the first season but my friends really insisted that I carry on and mind you that was one of the best decisions I made in TV shows. The USP of this show is that you'll never get tired of it and it's extremely rewatchable. You'll find certain nuances in rewatches that you'll definitely miss in the first one.TLDR : Highly recommended, watch atleast two seasons before jumping on any conclusions",1/2
16,1,1,5,ThomasT1304,14 April 2021,"I found this episode very weird because this is a carbon copy of the pilot for the British version and everyone is trying to copy the British versions of their characters. So Michael Scott in this episode comes off as cocky and mean spirited towards others in the office and it makes him unlikeable which is odd because of his personality in later seasons. (He is my favorite character in the show) Also the story in this episode is lacking, there is basically no story. I still gave it 5 stars because of other characters like Jim, Pam, and Dwight which already have their personalities defined and they are already likeable and make the episode watchable.",1/3
17,1,1,8,hreed-89565,28 November 2019,"I would like to start out by saying that The Office is my favorite show and the first show I ever watched all the way through. I will do my best to review every episode to the best of my ability. I have ranked all the episodes in advance to make sure my reviews are accurate and to the point. I am starting out with The Office but will try to review the episodes of other shows I am passionate about such as Parks and Recreation, Friends, How I Met Your Mother, Arrested Development, etc.Now that that is out of the way, I will begin by discussing Season 1 as a whole. As for most first seasons of sitcoms, the quality is not the best since the show doesn't quite know what it wants to be. The Office doesn't have an exceptional first season, however it is better than some. I still really enjoy watching this season, but it definitely gets better in Season 2.This show was meant to be an americanized version of the British show of the same name. As a result, it was difficult for the show to separate itself from the original and become its own unique show. After the pilot, you can start to see this happening. Unfortunately, the pilot is almost exactly like the pilot for the British version. I don't find this to be a major issue; it still has some original material that is quite hilarious. Nevertheless, this is still a good episode but is not near as good as other episodes to come.I apologize for how lengthy this review is. This had to be long because I had so much I needed to say, but the reviews to come will be much shorter.",6/8
18,1,1,NA,wildrockiesdude,11 December 2019,"I ll never forget how much i laughed in this one yesterday
the best funniest pilot someone can watch
michael scott what a character
the diversity game killed me",0/4
