,season,episode,Rating,Name,Date,Text,Useful,clean_text,clean_text_tokens
10,1,1,7.0,smithpaulusmc,2 December 2019,"The Office's pilot episode introduces the shows main characters and biggest personalities in the context of impending downsizing. Office manager Michael Scott (Steve Carell), whose childish antics and inability to effectively lead his subordinates renders him nearly useless, learns that his branch is on the chopping block during the company's budget cuts. Rather than deal with the problem, Michael spends his time teasing his workers and holding pointless conferences.
Carell and The Office's ensemble which includes Rainn Wilson, John Krasinski, and Jenna Fischer, is endearing and unique. Each character feels different from the next and despite their interpersonal conflicts, we wish the best for each of them.
From the outset, the show comedically introduces several plot points from which the story arc can grow. As previously mentioned, the impending downsizing threatens to end the Scranton branch. Will Michael and his cronies rise to the occasion or be miraculously saved from losing their jobs? Most intriguingly, Jim Halpert (John Krasinski) appears to hold a friendly relationship with Pam Beasley (Jenna Fischer) that crosses into flirting. By the episode's end, we learn that Pam is currently dating a warehouse worker. This could open a story line of its own which could flesh out future episodes with more than one main plot.
The Office is a care-free, fresh take on the monotony of work life and the colorful characters that inhabit it. At this point in the series, there is not enough content to prove it will stand the test of time. Still, there are lovely elements and characters that might prove this show is worth your time.",0/4,office pilot episode introduce show main character big personality context impend downsize office manager michael_scott steve_carell whose childish antic inability effectively lead subordinate render nearly useless learn branch chop block company budget cut rather deal problem michael spend time tease worker hold pointless conference carell office ensemble include rainn_wilson john_krasinski jenna_fischer endear unique character feel different next despite interpersonal conflict wish good outset show comedically introduce several plot point story arc grow previously mention impending downsize threaten end scranton_branch michael crony rise occasion miraculously save lose job intriguingly jim halpert john_krasinski appear hold friendly relationship pam beasley jenna_fischer cross flirting episode end learn pam currently date warehouse worker could open story line could flesh future episode one main plot office care free fresh take monotony work life colorful character inhabit point series enough content prove stand test time still lovely element character may prove show worth time,"['office', 'pilot', 'episode', 'introduce', 'show', 'main', 'character', 'big', 'personality', 'context', 'impend', 'downsize', 'office', 'manager', 'michael_scott', 'steve_carell', 'whose', 'childish', 'antic', 'inability', 'effectively', 'lead', 'subordinate', 'render', 'nearly', 'useless', 'learn', 'branch', 'chop', 'block', 'company', 'budget', 'cut', 'rather', 'deal', 'problem', 'michael', 'spend', 'time', 'tease', 'worker', 'hold', 'pointless', 'conference', 'carell', 'office', 'ensemble', 'include', 'rainn_wilson', 'john_krasinski', 'jenna_fischer', 'endear', 'unique', 'character', 'feel', 'different', 'next', 'despite', 'interpersonal', 'conflict', 'wish', 'good', 'outset', 'show', 'comedically', 'introduce', 'several', 'plot', 'point', 'story', 'arc', 'grow', 'previously', 'mention', 'impending', 'downsize', 'threaten', 'end', 'scranton_branch', 'michael', 'crony', 'rise', 'occasion', 'miraculously', 'save', 'lose', 'job', 'intriguingly', 'jim', 'halpert', 'john_krasinski', 'appear', 'hold', 'friendly', 'relationship', 'pam', 'beasley', 'jenna_fischer', 'cross', 'flirting', 'episode', 'end', 'learn', 'pam', 'currently', 'date', 'warehouse', 'worker', 'could', 'open', 'story', 'line', 'could', 'flesh', 'future', 'episode', 'one', 'main', 'plot', 'office', 'care', 'free', 'fresh', 'take', 'monotony', 'work', 'life', 'colorful', 'character', 'inhabit', 'point', 'series', 'enough', 'content', 'prove', 'stand', 'test', 'time', 'still', 'lovely', 'element', 'character', 'may', 'prove', 'show', 'worth', 'time']"
11,1,1,6.0,jonniedylanoliver,18 May 2020,"The point of a 'Pilot' is to write the beginning of a story in an original and interesting way to hook the viewers in. But as this is a remake of the UK show, it is a near exact script to the UK Pilot. It establishes our main characters well (Michael, Pam, Dwight, Jim), but overall has a boring and forgettable plot.",3/5,point pilot write beginning story original interesting way hook viewer remake show near exact script pilot establish main character well michael pam dwight jim overall boring forgettable plot,"['point', 'pilot', 'write', 'beginning', 'story', 'original', 'interesting', 'way', 'hook', 'viewer', 'remake', 'show', 'near', 'exact', 'script', 'pilot', 'establish', 'main', 'character', 'well', 'michael', 'pam', 'dwight', 'jim', 'overall', 'boring', 'forgettable', 'plot']"
12,1,1,5.0,Mike1388,3 November 2011,"First of all Wow! Wow as in how bad the pilot was. I heard The Office get their mojo on by the second season (Which I haven't seen yet), so with that in mind I know I should take the pilot with a pinch of salt.This is my first time watching The Office after years hearing rave reviews about it. The pilot starts out with Carell introducing himself as the manager and speaking highly about himself, his character is a jerk and an offensive manager who doesn't know what's funny and what's not. Then we go on to be introduced to other characters, personally my favorite based on the pilot are John Krasinski who play the boring out of his mind kinda guy and Jenna Fischer who play as the awkward yet cute receptionist. Rain Wilson is shown as high maintenance kind of guy and Bj Novak basically doesn't have much line in the pilot.I'm going to ditch the first season and jump on to watch the second after wards, hoping it would be much better than this oh-so-ridiculous pilot.",17/44,first wow wow bad pilot hear office get mojo second season see yet mind know take pilot pinch salt first time watch office year hear rave review pilot start carell introduce manager speak highly character jerk offensive manager know funny introduce character personally favorite base pilot john_krasinski play boring mind kinda guy jenna_fischer play awkward yet cute receptionist rain wilson show high maintenance kind guy novak basically much line pilot i'm ditch first season jump watch second ward hope would much well ridiculous pilot,"['first', 'wow', 'wow', 'bad', 'pilot', 'hear', 'office', 'get', 'mojo', 'second', 'season', 'see', 'yet', 'mind', 'know', 'take', 'pilot', 'pinch', 'salt', 'first', 'time', 'watch', 'office', 'year', 'hear', 'rave', 'review', 'pilot', 'start', 'carell', 'introduce', 'manager', 'speak', 'highly', 'character', 'jerk', 'offensive', 'manager', 'know', 'funny', 'introduce', 'character', 'personally', 'favorite', 'base', 'pilot', 'john_krasinski', 'play', 'boring', 'mind', 'kinda', 'guy', 'jenna_fischer', 'play', 'awkward', 'yet', 'cute', 'receptionist', 'rain', 'wilson', 'show', 'high', 'maintenance', 'kind', 'guy', 'novak', 'basically', 'much', 'line', 'pilot', 'i', ""'m"", 'ditch', 'first', 'season', 'jump', 'watch', 'second', 'ward', 'hope', 'would', 'much', 'well', 'ridiculous', 'pilot']"
13,1,1,6.0,jackVSjack,20 August 2019,"There was absolutely no way they were going to be able to match the UK first episode by doing pretty much the same script. The actors don't fit as well into the original roles as they were written. Krasinski is no Freeman, he misses the beats in between the lines most of the time. Carell is closer. But his part works better when the character works to include the audience at home as he searches to he discovered. He doesn't come over quite as desperate. It's good they have tried to make it different but this opening pales when we've seen it done better.",15/19,absolutely way able match first episode pretty much script actor fit well original role write krasinski freeman miss beat line time carell close part work well character work include audience home search discover come quite desperate good try make different opening pale see well,"['absolutely', 'way', 'able', 'match', 'first', 'episode', 'pretty', 'much', 'script', 'actor', 'fit', 'well', 'original', 'role', 'write', 'krasinski', 'freeman', 'miss', 'beat', 'line', 'time', 'carell', 'close', 'part', 'work', 'well', 'character', 'work', 'include', 'audience', 'home', 'search', 'discover', 'come', 'quite', 'desperate', 'good', 'try', 'make', 'different', 'opening', 'pale', 'see', 'well']"
14,1,1,3.0,hazzadhgw,9 March 2020,"This episode is a total rip off of The original Office. The plot is the same. Some of the scenes are the same.
This is not a bad episode though. I actually found his funnier than the office UK pilot. I don't rate the Office UK's pilot episode.",1/14,episode total rip original office plot scene bad episode though actually find funny office pilot rate office pilot episode,"['episode', 'total', 'rip', 'original', 'office', 'plot', 'scene', 'bad', 'episode', 'though', 'actually', 'find', 'funny', 'office', 'pilot', 'rate', 'office', 'pilot', 'episode']"
15,1,1,,aryanjigupta,13 March 2021,"I couldn't watch the office after seeing the first season but my friends really insisted that I carry on and mind you that was one of the best decisions I made in TV shows. The USP of this show is that you'll never get tired of it and it's extremely rewatchable. You'll find certain nuances in rewatches that you'll definitely miss in the first one.TLDR : Highly recommended, watch atleast two seasons before jumping on any conclusions",1/2,could watch office see first season friend really insist carry mind one good decision make show usp show never get tired extremely rewatchable find certain nuance rewatche definitely miss first one tldr highly recommended watch atleast two season jump conclusion,"['could', 'watch', 'office', 'see', 'first', 'season', 'friend', 'really', 'insist', 'carry', 'mind', 'one', 'good', 'decision', 'make', 'show', 'usp', 'show', 'never', 'get', 'tired', 'extremely', 'rewatchable', 'find', 'certain', 'nuance', 'rewatche', 'definitely', 'miss', 'first', 'one', 'tldr', 'highly', 'recommended', 'watch', 'atleast', 'two', 'season', 'jump', 'conclusion']"
16,1,1,5.0,ThomasT1304,14 April 2021,"I found this episode very weird because this is a carbon copy of the pilot for the British version and everyone is trying to copy the British versions of their characters. So Michael Scott in this episode comes off as cocky and mean spirited towards others in the office and it makes him unlikeable which is odd because of his personality in later seasons. (He is my favorite character in the show) Also the story in this episode is lacking, there is basically no story. I still gave it 5 stars because of other characters like Jim, Pam, and Dwight which already have their personalities defined and they are already likeable and make the episode watchable.",1/3,find episode weird carbon copy pilot british version everyone try copy british version character michael_scott episode come cocky mean spirit towards office make unlikeable odd personality later season favorite character show also story episode lack basically story still give star character like jim_pam dwight already personality define already likeable make episode watchable,"['find', 'episode', 'weird', 'carbon', 'copy', 'pilot', 'british', 'version', 'everyone', 'try', 'copy', 'british', 'version', 'character', 'michael_scott', 'episode', 'come', 'cocky', 'mean', 'spirit', 'towards', 'office', 'make', 'unlikeable', 'odd', 'personality', 'later', 'season', 'favorite', 'character', 'show', 'also', 'story', 'episode', 'lack', 'basically', 'story', 'still', 'give', 'star', 'character', 'like', 'jim_pam', 'dwight', 'already', 'personality', 'define', 'already', 'likeable', 'make', 'episode', 'watchable']"
17,1,1,8.0,hreed-89565,28 November 2019,"I would like to start out by saying that The Office is my favorite show and the first show I ever watched all the way through. I will do my best to review every episode to the best of my ability. I have ranked all the episodes in advance to make sure my reviews are accurate and to the point. I am starting out with The Office but will try to review the episodes of other shows I am passionate about such as Parks and Recreation, Friends, How I Met Your Mother, Arrested Development, etc.Now that that is out of the way, I will begin by discussing Season 1 as a whole. As for most first seasons of sitcoms, the quality is not the best since the show doesn't quite know what it wants to be. The Office doesn't have an exceptional first season, however it is better than some. I still really enjoy watching this season, but it definitely gets better in Season 2.This show was meant to be an americanized version of the British show of the same name. As a result, it was difficult for the show to separate itself from the original and become its own unique show. After the pilot, you can start to see this happening. Unfortunately, the pilot is almost exactly like the pilot for the British version. I don't find this to be a major issue; it still has some original material that is quite hilarious. Nevertheless, this is still a good episode but is not near as good as other episodes to come.I apologize for how lengthy this review is. This had to be long because I had so much I needed to say, but the reviews to come will be much shorter.",6/8,would like start say office favorite show first show ever watch way good review every episode good ability rank episode advance make sure review accurate point start office try review episode show passionate parks recreation friends met mother arrested development etc way begin discuss season whole first season sitcom quality good since show quite know want office exceptional first season however well still really enjoy watch season definitely get well season 0.this show mean americanize version british show name result difficult show separate original become unique show pilot start see happening unfortunately pilot almost exactly like pilot british version find major issue still original material quite hilarious nevertheless still good_episode near good_episode come apologize lengthy review long much need say review come much short,"['would', 'like', 'start', 'say', 'office', 'favorite', 'show', 'first', 'show', 'ever', 'watch', 'way', 'good', 'review', 'every', 'episode', 'good', 'ability', 'rank', 'episode', 'advance', 'make', 'sure', 'review', 'accurate', 'point', 'start', 'office', 'try', 'review', 'episode', 'show', 'passionate', 'parks', 'recreation', 'friends', 'met', 'mother', 'arrested', 'development', 'etc', 'way', 'begin', 'discuss', 'season', 'whole', 'first', 'season', 'sitcom', 'quality', 'good', 'since', 'show', 'quite', 'know', 'want', 'office', 'exceptional', 'first', 'season', 'however', 'well', 'still', 'really', 'enjoy', 'watch', 'season', 'definitely', 'get', 'well', 'season', '0.this', 'show', 'mean', 'americanize', 'version', 'british', 'show', 'name', 'result', 'difficult', 'show', 'separate', 'original', 'become', 'unique', 'show', 'pilot', 'start', 'see', 'happening', 'unfortunately', 'pilot', 'almost', 'exactly', 'like', 'pilot', 'british', 'version', 'find', 'major', 'issue', 'still', 'original', 'material', 'quite', 'hilarious', 'nevertheless', 'still', 'good_episode', 'near', 'good_episode', 'come', 'apologize', 'lengthy', 'review', 'long', 'much', 'need', 'say', 'review', 'come', 'much', 'short']"
18,1,1,,wildrockiesdude,11 December 2019,"I ll never forget how much i laughed in this one yesterday
the best funniest pilot someone can watch
michael scott what a character
the diversity game killed me",0/4,never forget much laugh one yesterday good funniest pilot someone watch michael_scott character diversity game kill,"['never', 'forget', 'much', 'laugh', 'one', 'yesterday', 'good', 'funniest', 'pilot', 'someone', 'watch', 'michael_scott', 'character', 'diversity', 'game', 'kill']"
19,1,1,7.0,dwightkschrute-33500,1 June 2019,"The first episode of the great American version of The Office isn't one of the best. It isn't bad, but the mood was more like the UK Office. It was still trying to find out where it was going and what it was, which is what most of season 1 is. Still has some good laughs though.",1/4,first episode great american version office one good bad mood like office still try find season still good laugh though,"['first', 'episode', 'great', 'american', 'version', 'office', 'one', 'good', 'bad', 'mood', 'like', 'office', 'still', 'try', 'find', 'season', 'still', 'good', 'laugh', 'though']"
20,1,1,4.0,dararafiee,4 April 2021,"So boring and not funny at all, hope it get better.",8/16,boring funny hope get well,"['boring', 'funny', 'hope', 'get', 'well']"
21,1,1,6.0,tlinsten-44374,21 July 2019,"For a episode itself it lacked any real story, the humour didn't really fit for characters we just met but as we go along we connect more and will enjoy more but this episode was just not the best, But did do a good job introducing us to what the characters act like around each other and there relationships.",13/17,episode lack real story humour really fit character meet along connect enjoy episode good good job introduce character act like around relationship,"['episode', 'lack', 'real', 'story', 'humour', 'really', 'fit', 'character', 'meet', 'along', 'connect', 'enjoy', 'episode', 'good', 'good', 'job', 'introduce', 'character', 'act', 'like', 'around', 'relationship']"
22,1,1,6.0,jahollis,1 December 2020,"I have just started rewatching The Office. It is my favorite TV show of all time. The way ""The Office"" starts out with its Pilot isn't horrible. However, it can greatly be improved. To begin with, it does well with introducing the cast within the office and establishing their personalities. Also, it uniquely and calmly sets the tone for the rest of the series. On the other hand, while it tends to focus on the individual character arches, it then strays away from the objective of making a good overall episode. To summarize, I would say that this is the best that they had to work with at the time.""If I left, what would I do with all this useless information in my head?""- Jim Helpert6/10- Could be better but an average start to a series that will never cease in history",0/2,"start rewatche office favorite show time way office start pilot horrible however greatly improve begin well introduce cast within office establish personality also uniquely calmly set tone rest series hand tend focus individual character arch stray away objective make good overall episode summarize would say good work time ""if leave would useless information head?""- jim helpert0/00- could well average start series never cease history","['start', 'rewatche', 'office', 'favorite', 'show', 'time', 'way', 'office', 'start', 'pilot', 'horrible', 'however', 'greatly', 'improve', 'begin', 'well', 'introduce', 'cast', 'within', 'office', 'establish', 'personality', 'also', 'uniquely', 'calmly', 'set', 'tone', 'rest', 'series', 'hand', 'tend', 'focus', 'individual', 'character', 'arch', 'stray', 'away', 'objective', 'make', 'good', 'overall', 'episode', 'summarize', 'would', 'say', 'good', 'work', 'time', '""', 'if', 'leave', 'would', 'useless', 'information', 'head?""-', 'jim', 'helpert0/00-', 'could', 'well', 'average', 'start', 'series', 'never', 'cease', 'history']"
23,1,1,8.0,tylerpalsgrove,29 October 2019,"What this episode lacks in a story line, it makes up for in what this series is all about: it's characters and relationships.",6/12,episode lack story line make series character relationship,"['episode', 'lack', 'story', 'line', 'make', 'series', 'character', 'relationship']"
24,1,1,6.0,jonahdavidhill,30 March 2018,"Though this show is amazing, Michaels awkwardness makes it painful to sit through.",7/14,though show amazing michaels awkwardness make painful sit,"['though', 'show', 'amazing', 'michaels', 'awkwardness', 'make', 'painful', 'sit']"
